Month,MDD
2020-01,0.0
2020-02,-4.828764318862714
2020-03,-7.35474945661751
2020-04,0.0
2020-05,0.0
2020-06,0.0
2020-07,0.0
2020-08,0.0
2020-09,-6.739679865206387
2020-10,-10.224803795503925
2020-11,-5.0813607945727775
2020-12,-1.3789739724205137
2021-01,0.0
2021-02,0.0
2021-03,0.0
2021-04,0.0
2021-05,-0.9913554203884267
2021-06,0.0
2021-07,0.0
2021-08,0.0
2021-09,-6.611895455147736
2021-10,0.0
2021-11,-0.3105964658343984
2021-12,0.0
2022-01,-7.534490736962113
2022-02,-11.159014891799051
2022-03,-8.328380461216108
2022-04,-17.483354618121012
2022-05,-19.163299263698292
2022-06,-23.635233597905764
2022-07,-16.525933143258428
2022-08,-22.25559222598739
2022-09,-30.75048076978829
2022-10,-30.979426409983766
2022-11,-24.137728230919137
2022-12,-28.692910659701777
2023-01,-26.317200097609433
2023-02,-25.838489360178148
2023-03,-14.27807402836366
2023-04,-8.640580142703977
2023-05,-2.357873383745448
2023-06,0.0
2023-07,-1.3566687802704864
2023-08,-3.7528629895793837
2023-09,-7.279617452292891
2023-10,-0.7135784132971508
2023-11,0.0
2023-12,-0.7574334274629967
2024-01,0.0
2024-02,0.0
2024-03,0.0
2024-04,-7.461021582049822
2024-05,-1.3286746529758509
2024-06,0.0
2024-07,-6.398925911199775
2024-08,-6.669649699750538
2024-09,-3.7252533006991175
2024-10,-9.083789929885008
2024-11,-5.255625791349687
2024-12,-5.69415134368159
Current Return,-0.462851283777721
Total Return,147.60617987428765
